GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
310M300US29540,29540,"Lancaster, PA Metro Area",196171,918,59237,893,2.5,0.2,31791,4226,138123,1194,70512,902,40.6,0.6,68549,1785,59.4,0.6,71636,1145,81.0,0.8,78851,1101,13.5,0.6,35153,1916,5.5,0.5,49257,3139,58048,1152,32859,828,55.3,1.1,28658,1136,46.3,1.0,25314,1157,9.0,0.8,56768,4946,44.7,1.1,39605,1652,33.9,1.1,34226,1764,10.7,0.9,60897,5242
310M300US29620,29620,"Lansing-East Lansing, MI Metro Area",183945,823,51562,676,1.3,0.2,39801,7967,109698,909,67502,992,42.1,0.7,63283,2475,57.9,0.7,69752,1166,74.5,0.7,80353,1109,18.8,0.7,30570,1529,6.7,0.4,40901,1768,74247,913,32334,731,53.8,0.9,30631,870,42.7,0.9,28887,1078,11.1,0.6,39276,2869,46.2,0.9,34482,1120,33.2,1.0,31672,1231,13.0,0.7,45454,2640
310M300US29700,29700,"Laredo, TX Metro Area",71092,604,38711,1204,3.4,0.4,35519,4724,57240,864,42609,1367,55.3,1.1,39045,2559,44.7,1.1,46338,1693,64.9,1.4,52552,1767,27.6,1.1,24320,2139,7.5,0.9,35445,5416,13852,759,21598,2047,53.3,2.7,16850,2558,46.6,2.5,14690,1703,6.7,1.2,53190,14004,46.7,2.7,28723,4082,39.2,2.7,25075,4801,7.5,1.5,49396,10273
310M300US29740,29740,"Las Cruces, NM Metro Area",74989,806,38636,1479,4.3,0.6,31818,3261,51818,1010,45626,2071,44.7,1.3,37273,2854,55.3,1.3,52797,2469,70.1,1.7,57358,2269,22.7,1.7,23170,2435,7.2,0.9,30256,6698,23171,848,23842,1329,51.0,2.4,21997,1474,43.7,2.2,21024,1902,7.3,1.4,31611,10564,49.0,2.4,27393,4801,35.3,2.5,24297,3219,13.7,1.9,34702,4473
310M300US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",735475,3128,52629,488,7.8,0.2,42611,946,470867,3217,61325,567,45.1,0.4,53735,857,54.9,0.4,66817,756,68.0,0.4,73187,793,21.7,0.3,36575,911,10.2,0.3,47222,1311,264608,2371,35812,452,47.2,0.6,31867,527,38.4,0.5,27988,750,8.8,0.4,56751,2388,52.8,0.6,40152,729,39.9,0.7,34289,840,12.8,0.5,61127,1688
310M300US29940,29940,"Lawrence, KS Metro Area",44212,648,52698,1683,0.8,0.3,,,23967,684,76202,2809,44.2,1.8,76515,5317,55.8,1.8,75969,3232,77.1,1.9,89839,4102,16.3,1.7,36724,3968,6.7,1.2,37331,9913,20245,765,29222,1704,51.4,2.7,30865,2370,36.7,2.4,27882,3015,14.7,2.0,38829,5424,48.6,2.7,27696,2433,32.1,2.8,26651,2511,16.5,2.2,30195,5410
310M300US30020,30020,"Lawton, OK Metro Area",45297,623,47319,1325,1.9,0.4,35974,6836,29984,785,59386,2124,47.7,1.4,49095,3823,52.3,1.4,67818,2349,70.2,1.9,72431,2029,22.3,1.7,26247,1772,7.5,1.0,45089,4082,15313,694,30867,1530,48.3,2.5,25824,2676,42.4,2.5,23246,2634,5.9,1.2,41064,7125,51.7,2.5,37247,2057,40.8,2.4,34338,3365,10.9,1.9,54965,7960
310M300US30140,30140,"Lebanon, PA Metro Area",52247,434,56191,1457,4.8,0.5,26663,6306,35822,640,67325,1696,39.7,1.3,63604,3214,60.3,1.3,69754,2516,76.3,1.3,76354,1313,16.2,1.2,34558,4364,7.4,0.9,44958,8102,16425,651,32008,1593,55.1,1.7,26949,1613,49.2,1.6,25268,1334,5.9,1.1,60694,8796,44.9,1.7,39931,2802,36.3,1.9,34182,3129,8.6,1.4,64639,7310
310M300US30300,30300,"Lewiston, ID-WA Metro Area",25424,298,48020,1788,0.4,0.2,13417,11201,16278,438,60435,2285,37.7,1.9,51179,5901,62.3,1.9,64396,3017,75.8,2.1,69299,2566,17.8,2.1,32519,3649,6.4,1.1,37295,5115,9146,494,27715,2406,55.1,3.3,23681,2135,45.2,2.9,20651,2749,9.9,1.9,39688,5991,44.9,3.3,35070,3633,36.5,3.1,31333,2868,8.4,1.8,61622,11137
310M300US30340,30340,"Lewiston-Auburn, ME Metro Area",44747,515,48728,1442,0.1,0.1,,,27537,610,61646,1936,42.8,1.6,55140,3808,57.2,1.6,64475,1457,74.5,1.8,72157,1946,17.0,1.4,28821,3406,8.5,1.2,37930,3906,17210,641,28046,1770,53.8,1.9,24366,2248,44.0,2.0,20553,1616,9.7,1.3,51503,7755,46.2,1.9,32975,2561,34.3,1.8,25962,3754,11.9,1.7,59854,8588
